Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
263,Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81
264,Slow Dancing in a Burning Room,John Mayer,neo mellow,2006,134,36,67,-9,8,29,242,57,3,76
265,Empire State Of Mind,JAY-Z,east coast hip hop,2009,174,96,49,-2,46,81,277,3,39,77
266,Drops of Jupiter,Train,dance pop,2001,79,64,47,-6,15,50,260,15,3,77
267,Omarm,BLØF,dutch pop,2003,184,44,27,-9,10,8,252,41,3,46
268,(What A) Wonderful World,Sam Cooke,adult standards,2000,129,51,69,-10,46,89,125,63,3,71
269,Teardrops,Womack & Womack,disco,2001,133,72,87,-10,18,97,229,9,5,61
270,The Rising,Bruce Springsteen,classic rock,2002,110,76,50,-6,9,33,287,7,3,53
271,Snow (Hey Oh),Red Hot Chili Peppers,alternative rock,2006,105,90,43,-4,12,60,335,12,5,80
272,I Don't Wanna Hurt,Anouk,dutch indie,2007,79,48,48,-7,10,22,213,60,3,46
273,Ordinary People,John Legend,neo mellow,2005,67,13,47,-14,9,36,281,93,8,69
274,Iedereen Is Van De Wereld,The Scene,belgian rock,2007,118,73,45,-7,29,38,228,0,4,50
275,Gold,Spandau Ballet,dance rock,2000,143,74,71,-8,10,64,231,26,4,66
276,All Night Long (All Night) - Single Version,Lionel Richie,adult standards,2003,109,58,74,-12,5,78,260,12,5,64
277,Can't Stop Loving You - 2016 Remaster,Phil Collins,mellow gold,2002,100,78,60,-6,11,42,256,1,3,62
278,City Of Blinding Lights,U2,irish rock,2004,139,77,44,-4,11,20,346,0,3,60
279,Munich,Editors,alternative dance,2005,149,88,18,-4,32,39,226,0,5,61
280,Hey Ya!,OutKast,atl hip hop,2003,80,97,73,-2,18,97,235,10,7,79
281,There Must Be an Angel (Playing with My Heart),Eurythmics,dance pop,2005,112,78,58,-5,8,60,281,28,4,40
282,Laat Me / Vivre - Lange Versie,Alderliefste met Ramses Shaffy en Liesbeth List,dutch pop,2005,81,41,66,-9,16,37,386,60,3,43
283,Watskeburt?!,De Jeugd Van Tegenwoordig,dutch hip hop,2008,130,49,95,-8,23,59,376,1,23,55
284,Feel,Robbie Williams,dance pop,2002,98,73,60,-7,14,29,264,1,3,72
285,Lady Jane - (Original Single Mono Version),The Rolling Stones,album rock,2004,205,47,38,-12,9,31,190,34,5,34
286,La Isla Bonita,Madonna,dance pop,2009,100,83,71,-5,6,97,243,39,4,66
287,Go Like Elijah,Chi Coltrane,alternative pop rock,2009,134,88,63,-5,17,49,242,4,4,40
288,Chop Suey!,System Of A Down,alternative metal,2001,127,93,42,-4,13,29,210,0,12,80
289,Sorry - (Live in Tivoli),Kyteman,dutch indie,2009,68,47,35,-9,66,20,150,94,4,47
290,Black or White - Single Version,Michael Jackson,pop,2005,115,89,74,-4,9,96,203,8,5,64
291,Shut Your Eyes,Snow Patrol,irish rock,2006,125,74,69,-6,8,84,197,15,3,42
292,Ironic,Alanis Morissette,alternative rock,2005,171,64,46,-6,19,29,229,NaN,6,62
293,I Bet You Look Good On The Dancefloor,Arctic Monkeys,garage rock,2006,103,95,54,-4,38,78,174,0,4,58
294,Hurt,Johnny Cash,arkansas country,2002,90,39,53,-8,9,16,217,65,3,75
295,Vogue,Madonna,dance pop,2009,116,88,74,-6,42,33,317,0,4,66
296,If I Were a Boy,Beyoncé,dance pop,2008,90,52,63,-6,35,43,249,11,3,68
297,Dyna-Mite,Mud,classic uk pop,2005,141,92,58,-5,20,77,177,0,6,40
298,Une Belle Histoire (Een Mooi Verhaal),Alderliefste,dutch pop,2008,87,68,57,NaN,18,67,268,36,3,38
299,Sandstorm - Radio Edit,Darude,eurodance,2007,136,98,54,-8,8,52,225,17,5,61
300,Right Next Door (Because Of Me),Robert Cray,blues,2002,87,65,61,-8,5,79,259,23,5,52
301,Hald Mich 'S Vas,Neet Oét Lottum,carnaval limburg,2004,179,54,29,-8,12,16,251,29,4,39
302,Like a Prayer,Madonna,dance pop,2009,111,84,62,-5,18,26,343,26,4,71
303,Rockin' All Over The World,Status Quo,album rock,2005,131,96,62,-5,51,97,217,13,4,47
304,Blue Hotel,Chris Isaak,mellow gold,2006,149,81,52,-4,12,53,192,0,3,42
305,Dear Mr. President,P!nk,dance pop,2009,128,30,48,-9,11,30,281,85,4,43
306,Stiekem Gedanst,Toontje Lager,dutch rock,2008,96,63,66,-10,60,84,215,21,6,53
307,Human,The Killers,modern rock,2008,135,80,56,-8,9,58,245,0,6,73
308,Lady Madonna - Remastered 2015,The Beatles,british invasion,2000,110,78,65,-5,22,57,137,14,3,63
309,Both Sides Now,Joni Mitchell,canadian folk,2000,78,14,26,-14,10,14,345,87,3,65
310,God Is a DJ,Faithless,big beat,2005,131,90,61,-7,17,39,209,18,4,57
311,Viva La Vida,Coldplay,permanent wave,2008,138,62,49,-7,11,42,242,9,3,78
312,Kids,MGMT,alternative dance,2007,123,93,45,-4,36,17,303,0,7,76
313,Bend & Break,Keane,modern rock,2004,138,84,47,-4,16,48,220,0,3,43
314,We Can Work It Out - Remastered 2015,The Beatles,british invasion,2000,106,68,38,-9,18,65,136,6,3,63
315,Sing for Absolution,Muse,modern rock,2004,170,68,44,-7,9,19,295,46,3,57
316,Superstition - Single Version,Stevie Wonder,adult standards,2002,100,63,63,-12,4,87,245,4,7,77
317,Vertigo,U2,irish rock,2004,140,82,42,-4,15,63,194,0,6,65
318,By the Way,Red Hot Chili Peppers,alternative rock,2002,122,97,45,-5,10,20,217,3,11,74
319,Hey Jude,The Beatles,british invasion,2006,74,63,46,-7,40,59,239,9,2,63
320,November,Rowwen Hèze,carnaval limburg,2005,186,40,32,-9,22,23,296,63,4,35
321,Geef Mij Je Angst,Guus Meeuwis,dutch pop,2006,81,56,37,-11,97,42,224,75,5,54
322,Stuck In The Middle With You,Stealers Wheel,classic rock,2009,124,56,80,-10,6,96,204,9,4,72
323,Het Regent Zonnestralen,Acda en de Munnik,dutch cabaret,2005,108,75,62,-6,11,83,226,41,3,57
324,Violet Hill,Coldplay,permanent wave,2008,76,58,35,-8,12,11,223,6,4,61
325,Dog Days Are Over,Florence + The Machine,art pop,2009,150,81,49,-5,12,25,252,4,8,69
326,Beautiful Day,U2,irish rock,2000,136,93,54,-6,36,45,246,1,5,63
327,Major Tom,Peter Schilling,german pop,2005,164,54,78,-6,22,68,274,3,6,48
328,An End Has a Start,Editors,alternative dance,2007,150,92,35,-2,34,54,226,0,5,53
329,Lost!,Coldplay,permanent wave,2008,87,78,36,-8,38,58,236,1,4,53
330,What It Is,Mark Knopfler,classic rock,2000,122,67,63,-7,28,48,298,64,3,43
331,Blue Monday - 2016 Remaster,New Order,alternative rock,2005,130,70,79,-10,8,86,451,0,6,73
332,Behind Blue Eyes,Limp Bizkit,alternative metal,2003,120,49,60,-7,12,9,270,50,3,72
333,Rehab,Amy Winehouse,british soul,2006,72,87,43,-3,40,73,214,5,7,74
334,Bird of Paradise,Snowy White,blues rock,2003,144,44,47,-11,32,31,281,60,4,52
335,I'm Yours,Jason Mraz,acoustic pop,2008,151,46,69,-8,11,72,242,60,5,82
336,Onderweg,Abel,dutch rock,2000,98,68,62,-6,8,41,190,35,2,59
337,Mr. Bojangles - Single Version,Sammy Davis Jr.,adult standards,2002,117,18,54,-13,11,13,343,75,5,56
338,Unwritten,Natasha Bedingfield,dance pop,2004,100,80,71,-6,8,63,259,1,4,76
339,Resistance,Muse,modern rock,2009,135,77,47,-7,11,9,347,6,5,63
340,Bedshaped,Keane,modern rock,2004,75,41,33,-7,10,7,276,61,3,41
341,Mia,Gorki,belgian rock,2002,114,30,70,-17,10,23,332,4,3,52
342,You Oughta Know,Alanis Morissette,alternative rock,2005,105,86,64,-7,87,47,250,23,7,52
343,Overcome,Live,alternative metal,2001,146,40,38,-7,10,19,256,78,3,49
344,Stand My Ground,Within Temptation,dutch metal,2004,88,87,25,-4,12,13,268,5,5,56
345,Chasing Cars,Snow Patrol,irish rock,2006,104,59,56,-5,13,14,268,21,3,78
346,Dani California,Red Hot Chili Peppers,alternative rock,2006,96,91,56,-2,35,73,282,2,4,76
347,Unfinished Sympathy,Massive Attack,big beat,2006,114,89,59,-6,51,70,312,1,3,53
348,Nine Million Bicycles,Katie Melua,uk pop,2005,82,25,53,-16,12,34,197,52,3,61
349,You're Beautiful,James Blunt,neo mellow,2005,82,48,68,-10,9,45,209,63,3,76
350,It's My Life,Bon Jovi,glam metal,2000,120,91,55,-4,35,54,224,3,5,77
351,Politik,Coldplay,permanent wave,2002,171,48,26,-8,11,7,319,4,3,62
352,Mooie Dag,BLØF,dutch pop,2002,85,58,50,-11,14,30,279,11,3,40
353,In Nije Dei,De Kast,dutch pop,2004,130,49,41,-9,96,15,296,51,3,38
354,Sex on Fire,Kings of Leon,modern rock,2008,153,91,54,-6,14,37,203,0,5,79
355,Hallelujah,Lisa Lois,dutch pop,2009,182,24,19,-13,11,11,226,24,3,49
356,Somewhere Only We Know,Keane,modern rock,2004,172,66,45,-4,8,37,236,8,3,67
357,Sunrise,Simply Red,british soul,2004,106,73,79,-5,10,94,200,0,3,55
358,How You Remind Me,Nickelback,alternative metal,2001,172,76,45,-5,10,54,224,0,3,78
359,When You Say Nothing At All,Ronan Keating,dance pop,2000,174,45,46,-11,8,42,257,16,3,74
360,Hard Sun,Eddie Vedder,permanent wave,2007,143,83,44,-7,32,65,322,5,3,66
361,Belfast Child,Simple Minds,art rock,2008,81,39,14,-13,10,30,404,30,5,43
362,Feel Good Inc.,Gorillaz,alternative hip hop,2005,139,71,82,-7,61,77,223,1,18,80
363,Alles Is Liefde,BLØF,dutch pop,2007,144,77,51,-6,17,57,210,0,4,36
364,Jerusalem,Anouk,dutch indie,2004,132,84,61,-7,8,54,236,0,4,40
365,Mr Bojangles,Robbie Williams,dance pop,2001,137,33,51,-11,18,27,198,72,11,58
366,Tranen Gelachen,Guus Meeuwis,dutch pop,2007,186,54,30,-8,12,54,203,16,4,50
367,When The Sun Goes Down,Arctic Monkeys,garage rock,2006,169,88,35,-5,12,41,202,3,20,57
368,Frozen,Madonna,dance pop,2009,108,74,59,-8,18,29,379,51,3,55
369,The Racing Rats,Editors,alternative dance,2007,153,84,32,-4,8,22,258,0,5,43
370,Poker Face,Lady Gaga,dance pop,2008,119,81,85,-5,12,78,237,12,8,69
371,Life in Technicolor ii,Coldplay,permanent wave,2008,131,91,47,-7,25,29,245,0,4,47
372,One,Johnny Cash,arkansas country,2000,94,50,51,-8,39,42,232,61,3,47
373,Ruby,Kaiser Chiefs,alternative rock,2007,93,93,44,-3,8,40,203,1,5,62
374,Het Land Van,Lange Frans,dutch hip hop,2005,83,53,66,-9,14,61,230,89,17,49
375,Bad Romance,Lady Gaga,dance pop,2009,119,92,70,-4,8,71,295,0,4,79
376,Elevation,U2,irish rock,2000,110,80,58,-8,5,42,226,0,4,49
377,Trouble,Coldplay,permanent wave,2000,140,55,56,-7,17,19,273,19,3,71
378,De Peel In Brand,Rowwen Hèze,carnaval limburg,2005,199,36,28,-13,14,33,205,61,4,33
379,Black Betty,Ram Jam,album rock,2005,117,73,49,-9,16,83,236,0,9,61
380,Wrong,Novastar,belgian rock,2000,90,66,54,-8,55,49,214,14,4,50
381,Never Be Clever,Herman Brood & His Wild Romance,dutch indie,2001,138,89,56,-5,32,96,183,54,4,41
382,Undisclosed Desires,Muse,modern rock,2009,116,59,68,-7,8,64,235,1,3,65
383,Auto Vliegtuug,Rowwen Hèze,carnaval limburg,2005,96,52,32,-7,16,25,238,48,2,34
384,Meer Dan Een Ander,Van Dik Hout,dutch cabaret,2009,94,18,56,-13,7,25,223,81,3,34
385,Brabant,Guus Meeuwis,dutch pop,2002,82,47,41,-7,10,39,210,56,3,61
386,Mother Earth,Within Temptation,dutch metal,2003,105,59,43,-6,24,15,330,2,3,45
387,One More Time,Daft Punk,electro,2001,123,70,61,-9,33,48,320,2,13,75
388,(You're The) Devil in Disguise,Elvis Presley,adult standards,2002,123,73,48,-8,11,87,140,57,17,65
389,TRUE - Single Edit,Spandau Ballet,dance rock,2008,97,55,74,-9,6,35,328,51,3,72
390,Make It Wit Chu,Queens of the Stone Age,alternative metal,2007,92,81,70,-5,13,58,290,36,3,59
391,Bring Me To Life,Evanescence,alternative metal,2003,95,94,33,-3,24,30,236,1,7,78
392,Clocks,Coldplay,permanent wave,2002,131,75,58,-7,NaN,26,308,60,3,76
393,Farewell To The Fairground,White Lies,alternative dance,2009,118,77,53,-5,12,30,257,0,4,54
394,Bliss,Muse,modern rock,2001,128,80,45,-9,11,25,251,0,5,46
395,Kijk Omhoog,Nick & Simon,dutch pop,2007,166,56,41,-5,19,47,176,5,3,48
396,9 Crimes,Damien Rice,acoustic pop,2006,74,17,33,-13,9,10,219,91,3,57
397,Working On a Dream,Bruce Springsteen,classic rock,2009,110,77,56,-7,22,71,209,0,3,48
398,Nutbush City Limits,Ike & Tina Turner,brill building pop,2008,77,89,69,-6,3,91,182,9,3,56
399,Do They Know It's Christmas? - 1984 Version,Band Aid,electro,2004,115,64,60,-7,10,35,223,16,4,84
400,Changes,2Pac,g funk,2007,111,66,87,-7,14,32,269,4,8,72
401,Mag Ik Dan Bij Jou,Claudia De Breij,dutch cabaret,2010,132,29,54,-10,71,19,206,97,3,53
402,Sterrenstof,De Jeugd Van Tegenwoordig,dutch hip hop,2010,97,79,71,-4,20,90,221,32,11,48
403,Love Will Tear Us Apart - 2010 Remaster,Joy Division,alternative rock,2010,147,90,53,-9,14,91,205,0,4,64
404,Mag Het Licht Uit,De Dijk,dutch indie,2010,113,42,74,-10,10,58,259,36,3,43
405,Why Tell Me Why,Anita Meyer,dutch pop,2010,112,77,65,-6,59,38,214,23,6,54
406,Wonderful Days,Charly Lownoise,happy hardcore,2010,174,92,55,-11,99,11,332,1,7,37
407,Dat Komt Door Jou,Guus Meeuwis,dutch pop,2010,134,53,59,-10,12,31,287,38,4,57
408,Don't Give up the Fight,Racoon,dutch indie,2010,91,30,28,-13,12,26,210,88,3,27
409,I Follow Rivers - Live @ Giel!,Triggerfinger,belgian rock,2010,110,41,67,-9,3,71,214,15,6,42
410,Liverpool Rain,Racoon,dutch indie,2010,183,50,45,-7,11,21,266,25,3,26
411,No Mercy,Racoon,dutch indie,2010,104,57,77,-6,11,61,165,9,3,36
412,Peter Gunn Theme,"Emerson, Lake & Palmer",album rock,2010,131,83,43,-7,92,71,217,1,3,14
413,Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,73,206,9,8,61
414,The Eve of the War,Jeff Wayne,classic uk pop,2010,127,59,40,-9,11,37,263,8,4,28
415,A Night Like This,Caro Emerald,dutch pop,2010,123,71,87,-6,10,96,226,57,4,40
416,Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,63,203,0,8,76
417,Verdammt ich lieb dich - Remastered,Matthias Reim,classic schlager,2010,100,80,59,-7,9,32,220,50,7,38
418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84
419,The Promise You Made,Cock Robin,dance rock,2010,117,41,71,-14,15,65,227,38,4,48
420,Back Home,Golden Earring,album rock,2010,123,84,47,-6,10,74,232,6,5,37
421,Times Are Changing,DI-RECT,dutch indie,2010,123,81,50,-6,15,28,206,4,4,47
422,Proosten,Guus Meeuwis,dutch pop,2010,136,65,64,-6,12,76,232,43,3,49
423,Just the Way You Are,Bruno Mars,dance pop,2010,109,84,64,-5,9,43,221,2,4,80
424,Need You Now,Lady Antebellum,contemporary country,2010,108,72,58,-4,24,32,236,3,3,53
425,Man Down,Rihanna,barbadian pop,2010,156,91,48,-4,5,54,267,4,19,59
426,Pyro,Kings of Leon,modern rock,2010,115,61,37,-7,10,19,251,1,4,66
427,You Got It,Roy Orbison,adult standards,2010,115,59,66,-12,31,67,204,60,3,44
428,Atmosphere - 2010 Remaster,Joy Division,alternative rock,2010,120,39,62,-12,12,44,249,23,3,51
429,Grenade,Bruno Mars,dance pop,2010,110,56,71,-7,12,23,223,15,6,75
430,Have You Ever Been Mellow,Party Animals,gabba,2010,NaN,96,60,-4,25,57,188,20,5,47
431,Back Down South,Kings of Leon,modern rock,2010,117,62,48,-7,26,15,241,6,4,58
432,Riverside,Agnes Obel,chamber pop,2010,99,19,65,-14,13,23,231,98,3,48
433,Hold On Tight,Solomon Burke,brill building pop,2010,89,73,63,-6,16,50,324,9,3,38
434,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,79
435,Set Fire to the Rain,Adele,british soul,2011,108,68,61,-4,13,47,242,0,3,75
436,Rainbow In The Sky - K & A's Radio Blast,DJ Paul Elstak,gabba,2011,168,94,48,-7,28,26,213,0,3,60
437,Levels,Avicii,big room,2011,126,83,60,-7,34,35,339,3,4,58
438,Somebody That I Used To Know,Gotye,australian pop,2011,129,50,86,-7,10,72,245,59,4,76
439,Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,20,279,5,3,78
440,Rood,Marco Borsato,dutch cabaret,2011,138,78,48,-8,8,18,319,1,5,53
441,A Boy Named Sue (Live),Johnny Cash,arkansas country,2011,105,46,52,-16,78,89,218,93,5,18
442,Still Loving You,Scorpions,album rock,2011,104,61,28,-5,10,8,403,0,3,72
443,Little Black Submarines,The Black Keys,alternative rock,2011,95,47,37,-8,11,49,251,16,4,65
444,Walk,Foo Fighters,alternative metal,2011,138,87,23,-5,29,19,256,0,5,69
445,The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,41,258,67,4,76
446,kom terug,Spinvis,dutch indie,2011,97,73,50,-6,20,24,231,2,3,47
447,Prachtig mooie dag,Daniël Lohues,dutch indie,2011,103,69,55,-4,8,56,161,10,3,42
448,lippy kids,Elbow,britpop,2011,155,20,42,-15,8,10,366,96,3,29
449,Titanium (feat. Sia),David Guetta,dance pop,2011,126,79,60,-4,13,30,245,7,10,67
450,Faster,Within Temptation,dutch metal,2011,120,93,51,-3,14,48,264,0,4,53
451,Lonely Boy,The Black Keys,alternative rock,2011,166,87,36,-8,10,61,194,0,7,73
452,Turning Tables,Adele,british soul,2011,80,45,31,-6,13,21,250,95,3,66
453,Luv U More - K&A's Radio blast,DJ Paul,electro,2011,168,82,51,-11,14,7,232,0,3,51
454,Kan Ik Iets Voor Je Doen,De Dijk,dutch indie,2011,79,73,50,-6,31,45,200,14,3,30
455,Driver's Seat,Sniff 'n' The Tears,classic uk pop,2011,133,80,74,-8,19,98,239,0,4,54
456,Zing Voor Me,Lange Frans,dutch hip hop,2011,82,52,43,-9,22,56,216,80,7,52
457,Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,118,73,43,-7,17,31,241,0,4,68
458,Waarom Nou Jij,Marco Borsato,dutch cabaret,2011,140,51,44,-8,13,25,245,12,3,40
459,Mijn Vlakke Land,Jacques Brel,chanson,2011,79,33,40,-11,8,46,173,26,5,33
460,Rumour Has It,Adele,british soul,2011,120,75,62,-5,9,56,221,64,5,65
461,Keep Your Head Up,Ben Howard,british singer-songwriter,2011,79,60,51,-9,11,40,265,44,3,66
462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84
463,Happiness,Jonathan Jeremiah,dutch indie,2011,89,57,53,-10,13,49,182,72,6,49
464,Give Me Love,Ed Sheeran,pop,2011,116,33,53,-10,11,11,526,69,5,73
465,Gold on the Ceiling,The Black Keys,alternative rock,2011,130,83,51,-5,7,56,224,1,5,69
466,Ni**as In Paris,JAY-Z,east coast hip hop,2011,140,86,79,-6,35,77,219,13,32,77
467,Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,76,236,0,14,75
468,I Won' T Let You Down,Road Band,pop,2011,106,35,64,-14,7,59,233,54,3,33
469,Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76
470,Lego House,Ed Sheeran,pop,2011,160,64,59,-8,13,56,185,56,10,71
471,Skinny Love,Birdy,neo mellow,2011,166,29,38,-8,12,17,201,95,5,75
472,Dust Bowl,Joe Bonamassa,blues rock,2011,86,75,52,-7,20,70,273,36,5,44
473,Damn Those Eyes,Kane,dutch pop,2011,172,76,34,-7,35,33,251,0,4,39
474,These Days,Foo Fighters,alternative metal,2011,135,66,53,-4,21,22,298,0,3,64
475,Original Sin,INXS,australian rock,2011,132,63,69,-7,6,74,319,1,4,42
476,Terug Naar De Kust,Maggie MacNeal,nederpop,2011,117,45,49,-9,62,40,266,82,3,39
477,Georgia on My Mind,Ray Charles,adult standards,2011,131,32,29,-8,19,20,215,86,3,49
478,Charlie Brown,Coldplay,permanent wave,2011,138,74,43,-7,33,9,285,2,4,67
479,I've Just Lost Somebody,Golden Earring,album rock,2011,88,40,37,-13,8,27,189,4,3,27
480,Skyfall - Full Length,Adele,british soul,2012,76,55,35,-7,11,8,286,42,3,74
481,Zo Stil,BLØF,dutch pop,2012,170,69,57,-7,11,78,237,4,3,54
482,Holiday In Spain,Counting Crows,alternative rock,2012,126,32,65,-11,13,28,233,66,3,56
483,Radioactive,Imagine Dragons,modern rock,2012,136,78,45,-4,67,24,187,11,6,73
484,Video Games - Remastered,Lana Del Rey,art pop,2012,122,26,39,-10,9,18,282,81,3,55
485,Demons,Imagine Dragons,modern rock,2012,90,71,51,-3,33,43,175,19,3,73
486,She,Elvis Costello,art rock,2012,131,28,33,-13,13,28,188,43,3,64
487,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2012,95,55,78,-7,13,44,243,35,5,81
488,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,73
489,I Will Wait,Mumford & Sons,modern folk rock,2012,131,76,48,-5,31,45,277,1,3,69
490,Home Again,Kensington,dutch pop,2012,142,75,50,-6,35,30,197,1,4,44
491,Tubular Bells,Mike Oldfield,album rock,2012,149,20,28,-17,13,16,809,49,3,31
492,Winter,Tori Amos,art pop,2012,78,20,24,-14,11,27,345,98,3,19
493,Droomland,Andre Hazes,dutch pop,2012,100,47,32,-7,95,25,208,26,3,42
494,Wat Zou Je Doen?,BLØF,dutch pop,2012,184,51,35,-8,71,22,291,40,3,51
495,Madness,Muse,modern rock,2012,180,42,50,-8,11,22,281,13,7,70
496,Sovereign Light Café,Keane,modern rock,2012,123,73,54,-6,16,51,219,1,3,51
497,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,dance pop,2012,146,92,64,-4,9,85,258,3,8,83
498,Lover of the Light,Mumford & Sons,modern folk rock,2012,107,69,30,-7,27,37,315,1,5,57
499,San Quentin,Johnny Cash,arkansas country,2012,84,40,70,-14,90,82,158,56,6,27
500,On Top Of The World,Imagine Dragons,modern rock,2012,100,93,64,-6,9,76,190,9,15,66
501,Flappie,Youp van 't Hek,dutch cabaret,2012,131,24,75,-13,44,67,206,79,8,52
502,Home Again,Michael Kiwanuka,british soul,2012,85,32,52,-11,12,27,212,70,3,51
503,If You Could See Me Now,The Script,celtic rock,2012,100,76,51,-7,14,35,220,1,7,51
504,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,70
505,Dodenrit,Drs. P,dutch rock,2012,148,60,51,-14,81,96,312,67,10,34
506,When I Was Your Man,Bruno Mars,dance pop,2012,73,28,61,-9,9,39,214,93,4,82
507,I Won't Give Up,Jason Mraz,acoustic pop,2012,137,30,59,-10,12,14,240,69,4,72
508,Slapeloze Nachten,The Opposites,dutch hip hop,2012,112,65,81,-7,15,81,229,35,6,57
509,One Moment in Time,Whitney Houston,dance pop,2012,155,54,27,-7,10,33,285,49,3,54
510,Zaterdag,BLØF,dutch pop,2012,141,71,75,-10,10,90,283,9,3,41
511,Babel,Mumford & Sons,modern folk rock,2012,80,81,37,-6,8,65,209,3,5,57
512,Hopeless Wanderer,Mumford & Sons,modern folk rock,2012,154,58,27,-8,11,20,308,1,4,58
513,Follow the Sun,Xavier Rudd,australian indie folk,2012,124,39,61,-11,11,22,255,53,4,67
514,Later Als Ik Groter Ben,BLØF,dutch pop,2012,130,73,53,-5,8,57,205,0,3,48
515,Clown,Emeli Sandé,dance pop,2012,119,26,46,-8,11,23,221,92,4,46
516,Stay - Album Version (Edited),Rihanna,barbadian pop,2012,112,31,62,-10,12,13,241,95,3,66
517,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,67
518,It's Time,Imagine Dragons,modern rock,2012,105,88,66,-5,14,86,238,2,4,66
519,Little Talks,Of Monsters and Men,folk-pop,2012,103,76,45,-5,15,42,267,2,3,75
520,Euphoria,Loreen,electropop,2012,132,68,52,-5,6,11,214,8,4,56
521,Oceaan,Racoon,dutch indie,2013,126,34,47,-8,11,24,165,86,4,63
522,Lola Montez,Volbeat,alternative metal,2013,152,88,51,-5,7,68,268,0,3,57
523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85
524,Formidable,Stromae,belgian pop,2013,71,63,51,-9,15,50,214,10,19,49
525,Do I Wanna Know?,Arctic Monkeys,garage rock,2013,85,53,55,-8,22,41,272,19,3,82
526,Another Love,Tom Odell,modern rock,2013,123,54,45,-9,9,13,244,70,4,58
527,Hey Brother,Avicii,big room,2013,125,78,55,-5,8,46,255,3,4,78
528,I See Fire,Ed Sheeran,pop,2013,76,5,63,-21,10,20,301,56,4,64
529,This Is What It Feels Like,Armin van Buuren,edm,2013,130,83,55,-5,6,14,204,4,3,65
530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86
531,Dansen Op De Vulkaan,De Dijk,dutch indie,2013,151,95,58,-4,4,78,269,2,6,40
532,Witch Doctor,De Staat,dutch indie,2013,145,56,60,-7,5,33,207,0,6,47
